"x [nm]","y [nm]","?x [nm]","?y [nm]","sigma_x","sigma_y","del_sigma_x","del_sigma_y","t"
36090.05379,15557.95818,4.25932,4.95905,104.96134,122.20431,4.07777,4.74508,727824.11042
36069.2165,15628.78965,9.33524,12.34707,71.49258,93.94627,11.17073,14.58194,730899.77002
36045.02197,15587.24972,23.71026,18.8096,161.14044,137.12395,27.84631,22.87632,731430.31085
35991.33541,15315.20324,4.38801,5.01654,98.952,113.1259,4.31521,4.93394,742175.11926
35413.76877,15000.80669,5.00691,6.03714,97.35806,117.35067,4.9906,5.97536,745196.90954
35978.78321,15093.89795,26.23724,23.17094,98.99653,87.39926,26.70267,23.38597,746715.45853
35501.33796,15097.27555,12.04564,11.13429,97.57061,91.48886,21.29661,20.41338,749146.74884
35955.75764,15377.78135,19.78476,12.3819,101.6187,67.32494,21.32152,12.92825,751464.10385
35971.10393,15363.71345,12.00034,11.76424,98.13502,98.071,12.72191,12.85062,766808.92772
35940.364,15403.01263,7.35292,7.64181,83.16017,87.28658,7.74192,8.293,774601.66271
36104.08588,15476.70204,8.75884,6.38799,106.24438,78.2157,8.89737,6.54684,775467.65528
35460.90273,15084.56463,10.62608,14.36569,94.95027,106.85975,14.14085,19.19045,775726.04177
36003.87576,15334.91514,8.77628,22.34192,25.73565,91.20666,6.50105,20.0872,776061.56777
35999.80767,15264.44778,7.98606,8.76667,77.23698,85.17586,7.69545,8.43616,778811.12205
36078.45242,15612.88464,4.93111,7.25252,84.81938,123.23027,4.80244,7.1397,783273.29172
36041.0214,15353.71621,33.41126,26.89084,110.06064,88.38473,33.96772,27.14931,785953.40982
35520.77429,15201.16237,15.28271,31.75386,64.51456,105.16403,16.1872,34.84897,787004.51552
35440.85094,15001.41055,8.38253,9.79286,90.54988,105.03007,9.06751,10.58286,788798.84313
36032.30308,15267.69358,8.08286,9.63487,95.15159,113.43251,8.46533,10.12022,795437.10838
35990.73928,15210.36554,17.92996,12.83053,110.61294,107.3173,31.63037,27.77564,816211.66673
36122.55248,15550.13302,6.6709,7.54402,102.20939,115.50636,7.79414,8.87903,820124.45288
36092.66344,15604.30698,5.34505,5.94742,102.63348,115.57796,5.42343,6.03849,822965.24228
36127.87134,15493.06591,8.00647,7.17307,99.06857,88.75577,7.83327,7.00914,824838.63115
36149.13472,15529.52884,10.09228,20.84692,65.88739,134.79754,10.538,21.32228,825499.49939
35971.9206,15330.01376,5.83997,7.12508,94.39904,115.15959,5.50776,6.70754,831060.36168
35470.57092,15064.59863,5.37227,6.43717,92.81014,110.99846,5.40242,6.49274,832211.59953
35434.85728,15011.07172,5.90697,5.9631,96.44355,100.01236,6.00734,5.94014,842705.19875
35522.89906,15056.761,40.27453,17.41502,107.05828,54.51442,41.59539,16.54383,843799.63906
35899.37767,15618.07599,4.41887,4.50446,98.33274,100.23206,4.29469,4.37343,845004.29761
36009.84401,15321.20033,13.41482,24.67593,85.86261,144.587,17.85915,31.02945,863124.70538
35499.66502,15081.10043,23.56484,18.16762,90.60594,82.96477,30.24459,24.40768,874753.38348
35505.67333,15052.22258,22.37201,36.31164,100.70638,154.69598,31.90846,47.52854,875232.43256
36161.84337,15549.00047,25.73471,20.23105,89.84971,89.01542,38.52325,29.59105,875994.18819
36048.11769,15420.27848,13.14796,29.34901,51.5542,115.04983,12.6894,28.13664,876280.92473
35975.08359,15233.32721,7.77859,8.47063,91.15185,99.90986,7.99283,8.94832,876956.01525
36013.80009,15209.82835,3.39671,3.99859,99.4649,117.08925,3.20828,3.77477,888144.28879
36097.59219,15636.77335,5.22594,4.6231,91.52173,81.18791,5.10714,4.5465,890275.57196
36074.78562,15601.46733,6.54637,8.73382,101.02895,134.77538,6.45358,8.57308,890827.48485
36140.6187,15494.49124,5.66015,6.2104,87.85019,96.65071,5.59168,6.18242,891990.23989
36040.23077,15385.66934,5.75329,8.19803,117.57875,167.34868,6.22124,8.70012,894263.25523
36019.08942,15245.16643,9.60966,11.86353,78.76508,96.36879,10.99411,13.17078,895669.71189
36072.68219,15626.38139,4.76878,4.79731,94.91235,95.48038,4.51558,4.54492,898174.31208
36120.76192,15417.29397,13.74038,49.11461,77.17346,157.61791,15.58404,52.25641,902495.63215
36014.10354,15439.35439,6.95523,10.35589,91.3257,134.05585,7.41138,10.83656,910712.99457
35983.32639,15271.55173,11.56712,13.70905,90.7137,108.0344,11.73439,14.04641,922857.6817
35564.7337,15165.20896,6.70786,5.65296,86.01632,75.15943,7.36436,6.27787,923509.35678
35773.87537,15083.29511,18.74641,10.7681,83.59089,49.52553,24.67993,15.01851,934906.15845
35747.32328,15083.07404,23.00825,16.69086,137.02694,97.37974,25.84489,19.16845,935276.37386
35981.69416,15295.27399,3.53691,4.02124,105.73222,120.20927,3.42397,3.88821,939986.49326
35524.91144,15112.20214,4.88345,5.89585,98.69235,118.84168,4.94713,5.90363,942612.64385
36116.03293,15576.3956,7.34586,8.28345,76.18752,80.97376,7.54618,8.81319,947008.68675
35992.30791,15321.07205,7.22854,7.66127,69.78195,73.92141,6.8076,7.21045,947749.82317
36072.13321,15456.15952,6.77434,10.43054,121.55746,181.87636,7.39717,11.18608,957242.58811
36080.50543,15584.83118,8.09647,22.09877,26.49412,61.37636,24.15967,21.28613,957910.80633
35978.38373,15259.83342,3.2708,4.61847,102.01935,144.02541,3.23282,4.53188,969246.73404
36124.46699,15502.99806,5.90262,6.92427,88.73702,103.50201,6.06693,7.0992,975138.89971
36103.03883,15668.93561,23.33896,27.76656,90.20817,106.11422,40.84197,51.53314,978310.24519
36083.48508,15650.10261,4.10572,4.16891,99.06343,100.58828,3.91629,3.97827,983373.52609
35498.38567,15091.32919,5.47558,5.54339,91.20089,91.92096,5.35013,5.4084,991918.08217
35408.83472,15053.7458,14.86298,5.98592,70.57189,29.11114,14.94575,8.14069,992503.40339
35528.16394,15160.35342,4.27915,4.16478,104.04814,101.35177,4.11571,4.02311,996746.23947
35436.99736,15041.64673,6.70201,7.42855,77.13249,85.67633,6.55657,7.33123,998198.37065
36072.13455,15375.32065,15.43666,22.52792,122.21679,173.91646,33.63344,46.53415,1003066.83038
35500.73138,15113.50522,5.23289,5.67999,93.32828,101.30219,5.00037,5.42364,1010244.68217
36117.16152,15487.30181,5.79044,7.54312,96.92798,126.22993,5.51207,7.16315,1011153.50411
36013.72962,15231.49448,6.64818,7.59635,82.35264,95.79792,6.60743,7.41073,1011869.437
35447.84515,15050.42442,10.23475,7.95848,97.83067,81.72519,12.80887,10.60659,1019091.84142
35969.44042,15383.83042,6.22087,6.90995,77.57446,86.16323,6.03193,6.68293,1020227.30453
36101.34602,15593.08235,6.08471,6.75162,112.17432,124.46648,6.16104,6.82616,1022920.96221
35984.41054,15348.26093,5.36044,7.95823,93.90088,139.33234,5.10954,7.5631,1023586.69248
36107.94357,15462.36156,18.53724,7.49963,105.97904,43.07002,17.55643,7.12768,1025355.02621
35515.17146,15118.36073,11.55363,9.37186,80.78777,65.5548,10.71768,8.70185,1037879.45374
36008.50144,15162.58056,16.99072,25.01724,21.02155,80.53137,75.72402,28.94698,1057113.99415
35959.18437,15332.84883,15.02016,13.05502,75.65111,67.70789,21.27035,20.73031,1061451.35447
35990.51181,15316.71946,14.02647,10.72901,134.00491,104.00355,14.77761,11.25631,1061806.18954
36090.24752,15531.63248,5.44928,7.63377,91.29792,125.52456,5.61204,7.81174,1063103.33239
36006.19621,15261.18353,4.95772,5.83091,85.49679,100.64415,4.90207,5.80234,1072964.76699
36127.5088,15493.88672,5.499,6.06315,89.14828,97.21462,5.52422,6.09475,1094922.6386
36001.10409,15222.68632,4.22044,4.22309,91.96976,92.03613,4.02909,4.04152,1100699.68846
36102.26078,15394.8218,6.40893,10.78071,105.92773,174.94782,6.77936,11.28759,1113085.12606
36039.90029,15415.77679,19.03452,17.50681,74.93739,68.94905,19.1594,17.65251,1121435.44107
35941.22081,15399.92004,7.07594,8.13712,83.88692,96.28963,7.1519,8.146,1126921.7739
36103.45294,15553.96032,7.82393,11.68259,84.62164,105.65691,8.47789,12.99289,1127763.68025
36100.09708,15536.18828,4.15722,4.30752,106.55164,110.40396,3.98926,4.13435,1128438.07959
